GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gateway,com.reddot.gateway.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Gateway,com.reddot.gateway.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Gateway,com.reddot.gateway.web.rest.vm,RouteVM,24,0,0,0,10,0,7,0,7,0
Gateway,com.reddot.gateway.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
Gateway,com.reddot.gateway.config.apidocs,GatewaySwaggerResourcesProvider,0,107,0,2,0,29,0,8,0,7
Gateway,com.reddot.gateway.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Gateway,com.reddot.gateway.repository.rowmapper,UserRowMapper,131,0,0,0,17,0,2,0,2,0
Gateway,com.reddot.gateway,GatewayApp,158,0,12,0,38,0,12,0,6,0
Gateway,com.reddot.gateway.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.service,UserService,696,0,20,0,176,0,57,0,47,0
Gateway,com.reddot.gateway.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.service,MailService,181,0,2,0,42,0,7,0,6,0
Gateway,com.reddot.gateway.service,EntityManager.LinkTable,21,0,0,0,8,0,1,0,1,0
Gateway,com.reddot.gateway.service,ColumnConverter,63,0,10,0,15,0,8,0,3,0
Gateway,com.reddot.gateway.service,EntityManager,319,0,22,0,68,0,25,0,14,0
Gateway,com.reddot.gateway.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.web.filter,ModifyServersOpenApiFilter.ModifyServersOpenApiInterceptor,31,237,2,10,9,53,2,14,0,10
Gateway,com.reddot.gateway.web.filter,SpaWebFilter,53,0,14,0,12,0,9,0,2,0
Gateway,com.reddot.gateway.web.filter,ModifyServersOpenApiFilter,0,54,1,3,0,11,1,6,0,5
Gateway,com.reddot.gateway.security.jwt,JWTRelayGatewayFilterFactory,73,0,10,0,15,0,9,0,4,0
Gateway,com.reddot.gateway.security.jwt,TokenProvider,10,176,2,4,1,41,2,6,0,5
Gateway,com.reddot.gateway.security.jwt,JWTFilter,0,53,0,8,0,12,0,7,0,3
Gateway,com.reddot.gateway.repository,UserSqlHelper,105,0,0,0,15,0,2,0,2,0
Gateway,com.reddot.gateway.repository,UserRepositoryInternalImpl,229,0,4,0,48,0,18,0,16,0
Gateway,com.reddot.gateway.security,DomainUserDetailsService,101,0,4,0,23,0,8,0,6,0
Gateway,com.reddot.gateway.security,SecurityUtils,11,101,3,5,4,29,3,15,0,14
Gateway,com.reddot.gateway.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Gateway,com.reddot.gateway.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Gateway,com.reddot.gateway.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Gateway,com.reddot.gateway.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
Gateway,com.reddot.gateway.config,LocaleConfiguration,31,0,2,0,7,0,5,0,4,0
Gateway,com.reddot.gateway.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Gateway,com.reddot.gateway.config,ReactorConfiguration,4,0,0,0,3,0,1,0,1,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.ZonedDateTimeWriteConverter,17,0,0,0,3,0,2,0,2,0
Gateway,com.reddot.gateway.config,CacheConfiguration,3,0,0,0,1,0,1,0,1,0
Gateway,com.reddot.gateway.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Gateway,com.reddot.gateway.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Gateway,com.reddot.gateway.config,WebConfigurer,105,0,4,0,23,0,10,0,8,0
Gateway,com.reddot.gateway.config,LoggingConfiguration,64,0,8,0,16,0,6,0,2,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration,68,0,0,0,17,0,5,0,5,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.DurationWriteConverter,22,0,2,0,3,0,3,0,2,0
Gateway,com.reddot.gateway.config,JacksonConfiguration,19,0,0,0,5,0,5,0,5,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.BitSetReadConverter,19,0,0,0,3,0,2,0,2,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.InstantWriteConverter,18,0,0,0,3,0,2,0,2,0
Gateway,com.reddot.gateway.config,LiquibaseConfiguration,148,0,4,0,30,0,7,0,5,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.InstantReadConverter,18,0,0,0,3,0,2,0,2,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.ZonedDateTimeReadConverter,18,0,0,0,3,0,2,0,2,0
Gateway,com.reddot.gateway.config,SecurityConfiguration,293,0,0,0,51,0,4,0,4,0
Gateway,com.reddot.gateway.config,LocaleConfiguration.AngularCookieLocaleContextResolver,252,0,34,0,63,0,24,0,7,0
Gateway,com.reddot.gateway.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Gateway,com.reddot.gateway.config,LocaleConfiguration.AngularCookieLocaleContextResolver.new TimeZoneAwareLocaleContext() {...},21,0,0,0,3,0,3,0,3,0
Gateway,com.reddot.gateway.config,DatabaseConfiguration.DurationReadConverter,22,0,2,0,3,0,3,0,2,0
Gateway,com.reddot.gateway.service.mapper,UserMapper,102,118,12,6,27,33,12,11,6,8
Gateway,com.reddot.gateway.web.rest,PublicUserResource,112,0,2,0,16,0,9,0,8,0
Gateway,com.reddot.gateway.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.web.rest,GatewayResource,78,0,2,0,18,0,4,0,3,0
Gateway,com.reddot.gateway.web.rest,AccountResource,219,0,18,0,60,0,24,0,15,0
Gateway,com.reddot.gateway.web.rest,UserResource,364,0,16,0,69,0,28,0,20,0
Gateway,com.reddot.gateway.web.rest,UserJWTController.JWTToken,13,0,0,0,6,0,3,0,3,0
Gateway,com.reddot.gateway.web.rest,UserJWTController,63,0,0,0,13,0,6,0,6,0
Gateway,com.reddot.gateway.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Gateway,com.reddot.gateway.domain,User,70,83,8,0,17,33,14,20,10,20
Gateway,com.reddot.gateway.domain,Authority,26,14,4,0,8,5,6,4,4,4
Gateway,com.reddot.gateway.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Gateway,com.reddot.gateway.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Gateway,com.reddot.gateway.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Gateway,com.reddot.gateway.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Gateway,com.reddot.gateway.web.rest.errors,ExceptionTranslator,401,0,24,0,89,0,27,0,15,0
Gateway,com.reddot.gateway.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
